date_pm25,time_pm25,PM25,PM10,AQI_PM25,AQI_PM10,AQI_US
2023-10-29,19:00:00,48.5,65.2,133.01005025125627,56.04848484848485,133.01005025125627
2023-10-29,20:00:00,49.1,66.2,134.48743718592965,56.54343434343434,134.48743718592965
2023-10-29,21:00:00,51.5,69.59,140.39698492462313,58.22131313131313,140.39698492462313
2023-10-29,22:00:00,52.0,69.9,141.6281407035176,58.37474747474748,141.6281407035176
2023-10-29,23:00:00,76.7,93.7,161.94625922023184,70.15454545454546,161.94625922023184
2023-10-30,00:00:00,69.84,84.65,158.40421496311907,65.67525252525253,158.40421496311907
2023-10-30,01:00:00,60.1,75.59,153.37513171759747,61.19101010101011,153.37513171759747
2023-10-30,02:00:00,44.65,58.55,123.53015075376885,52.7570707070707,123.53015075376885
2023-10-30,03:00:00,44.8,57.5,123.89949748743717,52.23737373737374,123.89949748743717
2023-10-30,04:00:00,45.6,58.8,125.86934673366835,52.88080808080808,125.86934673366835
2023-10-30,05:00:00,40.2,49.9,112.57286432160805,46.2037037037037,112.57286432160805
2023-10-30,06:00:00,44.6,57.6,123.4070351758794,52.28686868686869,123.4070351758794
2023-10-30,07:00:00,44.2,57.1,122.42211055276383,52.03939393939394,122.42211055276383
2023-10-30,08:00:00,46.25,59.85,127.46984924623116,53.40050505050505,127.46984924623116
2023-10-30,09:00:00,66.9,79.5,156.88619599578504,63.12626262626263,156.88619599578504
2023-10-30,10:00:00,80.65,94.65,163.98577449947314,70.62474747474748,163.98577449947314
2023-10-30,11:00:00,84.6,99.55,166.02528977871444,73.05,166.02528977871444
2023-10-30,12:00:00,84.55,101.7,165.99947312961012,74.11414141414141,165.99947312961012
2023-10-30,13:00:00,82.2,99.5,164.78609062170707,73.02525252525253,164.78609062170707
2023-10-30,14:00:00,81.59,97.8,164.47112750263435,72.18383838383838,164.47112750263435
2023-10-30,15:00:00,101.4,122.3,174.69968387776606,84.31010101010101,174.69968387776606
2023-10-30,16:00:00,90.9,109.55,169.27818756585881,77.99949494949495,169.27818756585881
2023-10-30,17:00:00,78.34,91.35,162.79304531085353,68.99141414141414,162.79304531085353
2023-10-30,18:00:00,71.7,85.45,159.3645943097998,66.07121212121213,159.3645943097998
2023-10-30,19:00:00,74.0,87.6,160.55216016859853,67.13535353535353,160.55216016859853
2023-10-30,20:00:00,52.8,69.2,143.59798994974875,58.028282828282826,143.59798994974875
2023-10-30,21:00:00,49.7,65.4,135.96482412060303,56.14747474747475,135.96482412060303
2023-10-30,22:00:00,71.15,85.95,159.08061116965226,66.31868686868687,159.08061116965226
2023-10-30,23:00:00,86.8,104.3,167.16122233930452,75.4010101010101,167.16122233930452
2023-10-31,00:00:00,56.0,72.05,151.2581664910432,59.43888888888889,151.2581664910432
2023-10-31,01:00:00,54.0,70.75,146.55276381909547,58.79545454545455,146.55276381909547
2023-10-31,02:00:00,48.7,63.9,133.50251256281408,55.405050505050504,133.50251256281408
2023-10-31,03:00:00,47.8,61.7,131.28643216080403,54.316161616161615,131.28643216080403
2023-10-31,04:00:00,49.25,64.4,134.856783919598,55.65252525252526,134.856783919598
2023-10-31,05:00:00,71.3,83.2,159.15806111696523,64.95757575757575,159.15806111696523
2023-10-31,06:00:00,50.8,66.5,138.67336683417085,56.69191919191919,138.67336683417085
2023-10-31,07:00:00,50.0,65.4,136.7035175879397,56.14747474747475,136.7035175879397
2023-10-31,08:00:00,49.7,64.8,135.96482412060303,55.85050505050505,135.96482412060303
2023-10-31,09:00:00,37.0,47.6,104.69346733668341,44.074074074074076,104.69346733668341
